line,level,parent_old_section,heading
10594,1,332,332. Initial SELECT Grammar Surface
10596,2,332,LOCKED
10634,1,333,333. Subqueries
10636,2,333,LOCKED scope
10655,1,334,334. AST Philosophy
10657,2,334,LOCKED
10687,1,335,335. AST Ownership
10689,2,335,LOCKED
10704,1,336,336. Expression Precedence
10706,2,336,LOCKED
10733,1,337,337. Binder Responsibilities
10735,2,337,LOCKED
10769,1,338,338. Binding Context / Scope
10771,2,338,LOCKED
10810,1,339,339. Bound Column Reference
10812,2,339,LOCKED
10835,1,340,340. Unqualified Column Resolution
10837,2,340,LOCKED
10861,1,341,341. Qualified Column Resolution
10863,2,341,LOCKED
10882,1,342,342. SELECT * Expansion
10884,2,342,LOCKED
10908,1,343,343. Output Names
10910,2,343,LOCKED
10931,1,344,344. Expression IR
10933,2,344,LOCKED
10966,1,345,345. Expression Immutability
10968,2,345,LOCKED
10985,1,346,346. Expression Ownership
10987,2,346,LOCKED
10997,1,347,347. Operator Registry
10999,2,347,LOCKED
11020,1,348,348. Function Registry
11022,2,348,LOCKED
11046,1,349,349. Function Volatility
11048,2,349,LOCKED
11072,1,350,350. Aggregate Expressions
11074,2,350,LOCKED
11102,1,351,351. Aggregate Query Semantics
11104,2,351,LOCKED
11128,1,352,352. HAVING
11130,2,352,LOCKED
11156,1,353,353. ORDER BY Resolution
11158,2,353,LOCKED
11187,1,354,354. LIMIT / OFFSET
11189,2,354,LOCKED
11212,1,355,355. DISTINCT
11214,2,355,LOCKED
11230,1,356,356. CASE
11232,2,356,LOCKED
11254,1,357,357. IN List
11256,2,357,LOCKED
11280,1,358,358. Parameters
11282,2,358,"DEFERRED, architecture-compatible"
11299,1,359,359. Logical Plan Node Contract
11301,2,359,LOCKED
11327,1,360,360. Logical Plan Slot Identity
11329,2,360,LOCKED
11357,1,361,361. Initial Logical Operators
11359,2,361,LOCKED
11387,1,362,362. LogicalGet
11389,2,362,LOCKED
11423,1,363,363. LogicalValues
11425,2,363,LOCKED
11451,1,364,364. LogicalFilter
11453,2,364,LOCKED
11475,1,365,365. LogicalProject
11477,2,365,LOCKED
11498,1,366,366. LogicalJoin
11500,2,366,LOCKED
11533,1,367,367. Join Predicate Decomposition
11535,2,367,LOCKED
11560,1,368,368. Outer Join Semantics
11562,2,368,LOCKED
11586,1,369,369. LogicalAggregate
11588,2,369,LOCKED
11609,1,370,370. LogicalSort
11611,2,370,LOCKED
11634,1,371,371. LogicalLimit
11636,2,371,LOCKED
11651,1,372,372. LogicalInsert
11653,2,372,LOCKED
11676,1,373,373. LogicalUpdate
11678,2,373,LOCKED
11702,1,374,374. LogicalDelete
11704,2,374,LOCKED
11720,1,375,375. Hidden System Slots
11722,2,375,LOCKED
11742,1,376,376. CREATE TABLE Binding
11744,2,376,LOCKED
11770,1,377,377. PRIMARY KEY Semantics
11772,2,377,LOCKED
11790,1,378,378. CREATE INDEX Binding
11792,2,378,LOCKED
11813,1,379,379. CREATE INDEX Execution Semantics
11815,2,379,LOCKED
11838,1,380,380. DROP Semantics
11840,2,380,LOCKED
11852,1,381,381. DDL Concurrency
11854,2,381,LOCKED: conservative first
11874,1,382,382. Catalog Transaction Visibility
11876,2,382,LOCKED
11891,1,383,383. Statement Binding Snapshot
11893,2,383,LOCKED
11911,1,384,384. INSERT Binding
11913,2,384,LOCKED
11936,1,385,385. Default Expressions
11938,2,385,LOCKED initial scope
11957,1,386,386. UPDATE Binding
11959,2,386,LOCKED
11983,1,387,387. DELETE Binding
11985,2,387,LOCKED
12005,1,388,388. RETURNING
12007,2,388,LOCKED initial support recommendation
12030,1,389,389. Constant Folding
12032,2,389,LOCKED logical rewrite
12056,1,390,390. Boolean Simplification
12058,2,390,LOCKED
12076,1,391,391. Predicate Pushdown
12078,2,391,LOCKED architecture
12098,1,392,392. Projection Pruning
12100,2,392,LOCKED
12121,1,393,393. Expression Canonicalization
12123,2,393,LOCKED
12141,1,394,394. Logical Join Graph
12143,2,394,LOCKED
12159,1,395,395. Logical Plan Construction for SELECT
12161,2,395,LOCKED
12191,1,396,396. SELECT Without FROM
12193,2,396,LOCKED
12213,1,397,397. INNER JOIN Binding
12215,2,397,LOCKED
12235,1,398,398. LEFT JOIN Binding
12237,2,398,LOCKED
12261,1,399,399. CROSS JOIN
12263,2,399,LOCKED
12277,1,400,400. NATURAL / USING JOIN
12279,2,400,DEFERRED
12294,1,401,401. Subquery Binding
12296,2,401,LOCKED architecture
12324,1,402,402. Scalar Subquery Semantics
12326,2,402,LOCKED
12346,1,403,403. EXISTS
12348,2,403,LOCKED
12363,1,404,404. IN Subquery
12365,2,404,LOCKED architecture
12389,1,405,405. Common Table Expressions
12391,2,405,DEFERRED
12401,1,406,406. Expression Evaluation Contract
12403,2,406,LOCKED
12420,1,407,407. Expression Nullability Metadata
12422,2,407,LOCKED
12444,1,408,408. Expression Lineage
12446,2,408,LOCKED recommendation
12466,1,409,409. Logical Properties
12468,2,409,LOCKED architecture
12487,1,410,410. Constraint-Derived Logical Properties
12489,2,410,LOCKED
12512,1,411,411. Logical Plan Validation
12514,2,411,LOCKED
12533,1,412,412. EXPLAIN Logical Output
12535,2,412,LOCKED
12564,1,413,413. Error Model
12566,2,413,LOCKED
12591,1,414,414. Parser Error Recovery
12593,2,414,LOCKED scope
12610,1,415,415. SQL Grammar Testing
12612,2,415,LOCKED
12616,3,415,Positive parser tests
12620,3,415,Negative parser tests
12624,3,415,Precedence tests
12636,3,415,Round-trip debug tests
12644,1,416,416. Binder Tests
12646,2,416,LOCKED
12678,1,417,417. Type-System Property Tests
12680,2,417,LOCKED
12703,1,418,418. Catalog Tests
12705,2,418,LOCKED
12725,1,419,419. Logical Planner Tests
12727,2,419,LOCKED
12767,1,420,420. Logical Rewrite Tests
12769,2,420,LOCKED
12797,1,421,421. Catalog / Front-End Benchmarks
12799,2,421,LOCKED
12819,1,422,422. Parser/AST Memory Benchmark
12821,2,422,LOCKED recommendation
12838,1,423,423. Front-End Fuzzing
12840,2,423,LOCKED
12862,1,424,424. Supported SQL v1 Target
12864,2,424,LOCKED milestone target
12914,1,425,425. Deliberately Deferred SQL Features
12916,2,425,LOCKED
12955,1,426,426. High-Reward Future Front-End Features
12957,2,426,LOCKED recommendation
12979,1,427,427. Front-End / Logical-Layer Invariants
12981,2,427,LOCKED
13013,1,428,428. Recommended Module Layout for the Upper Layer
13015,2,428,LOCKED
13089,1,429,429. Implementation Order for Catalog + SQL Front End
13091,2,429,LOCKED
13093,3,429,Phase U1 — Type system
13103,3,429,Phase U2 — Catalog
13113,3,429,Phase U3 — Lexer/parser
13127,3,429,Phase U4 — Binder
13140,3,429,Phase U5 — Logical planning
13152,3,429,Phase U6 — Initial logical rewrites
13165,1,430,430. Upper-Layer Milestone 1
13167,2,430,LOCKED target
13204,1,431,431. Upper-Layer Milestone 2
13206,2,431,LOCKED target
13230,1,432,432. Upper-Layer Milestone 3
13232,2,432,LOCKED target
13258,1,433,433. Architecture Status After Upper Semantic Layer
13260,2,433,LOCKED v1
13318,1,434,434. Vectorized Physical Execution Engine Contract
13320,2,434,LOCKED
13365,1,435,435. Physical Plan vs Runtime Operator State
13367,2,435,LOCKED
13390,1,436,436. Physical Plan Node Contract
13392,2,436,LOCKED
13410,1,437,437. Initial Physical Operators
13412,2,437,LOCKED
13454,1,438,438. DataChunk
13456,2,438,LOCKED
13494,1,439,439. Why 1024 Rows
13496,2,439,LOCKED rationale
13523,1,440,440. Vector Kinds
13525,2,440,LOCKED initial set
13535,3,440,FLAT
13539,3,440,CONSTANT
13549,3,440,DICTIONARY
13572,1,441,441. Flat Numeric Vector Layout
13574,2,441,LOCKED
13611,1,442,442. Validity Mask
13613,2,442,LOCKED
13643,1,443,443. SelectionVector
13645,2,443,LOCKED
13678,1,444,444. Dictionary Composition
13680,2,444,LOCKED
13702,1,445,445. UnifiedVectorFormat
13704,2,445,LOCKED
13738,1,446,446. VARCHAR Execution Representation
13740,2,446,LOCKED
13767,1,447,447. String Lifetime Rules
13769,2,447,LOCKED
13793,1,448,448. DataChunk StringHeap
13795,2,448,LOCKED
13812,1,449,449. Borrowed Vectors Inside a Pipeline
13814,2,449,LOCKED
13833,1,450,450. Chunk Reuse
13835,2,450,LOCKED
13861,1,451,451. Execution Row Layout
13863,2,451,LOCKED
13907,1,452,452. RowCollection
13909,2,452,LOCKED
13936,1,453,453. Query Arena
13938,2,453,LOCKED
13962,1,454,454. QueryMemoryManager
13964,2,454,LOCKED
13994,1,455,455. Memory Reservations
13996,2,455,LOCKED
14026,1,456,456. Memory Pressure Protocol
14028,2,456,LOCKED
14044,1,457,457. SpillManager
14046,2,457,LOCKED
14078,1,458,458. Spill Block Format
14080,2,458,LOCKED
14102,1,459,459. Spill I/O Pattern
14104,2,459,LOCKED
14127,1,460,460. Expression Executor
14129,2,460,LOCKED
14144,1,461,461. Vectorized Arithmetic Kernels
14146,2,461,LOCKED
14173,1,462,462. Vectorized Comparison Kernels
14175,2,462,LOCKED
14194,1,463,463. AND / OR Short-Circuiting
14196,2,463,LOCKED
14224,1,464,464. Physical Pipeline Model
14226,2,464,LOCKED
14260,1,465,465. Pipeline Roles
14262,2,465,LOCKED
14264,3,465,Source
14278,3,465,Streaming operator
14291,3,465,Sink / pipeline breaker
14307,1,466,466. Physical Plan to Pipeline Graph
14309,2,466,LOCKED
14336,1,467,467. Pipeline Runtime Interfaces
14338,2,467,LOCKED conceptually
14366,1,468,"468. Single-Thread First, Parallel-Ready"
14368,2,468,LOCKED
14385,1,469,469. Pipeline Cancellation
14387,2,469,LOCKED
14419,1,470,470. Sequential Scan
14421,2,470,LOCKED
14451,1,471,471. Scan Page Guard Lifetime
14453,2,471,LOCKED
14467,1,472,472. Scan Predicate Pushdown Boundary
14469,2,472,LOCKED
14487,1,473,473. Index Scan
14489,2,473,LOCKED
14522,1,474,474. RID Batching for Index Scan
14524,2,474,LOCKED initial optimization
14544,1,475,475. Index Order Property
14546,2,475,LOCKED
14567,1,476,476. PhysicalFilter
14569,2,476,LOCKED
14587,1,477,477. PhysicalProject
14589,2,477,LOCKED
14601,1,478,478. PhysicalLimit
14603,2,478,LOCKED
14628,1,479,479. Nested-Loop Join
14630,2,479,LOCKED baseline
14656,1,480,480. Index Nested-Loop Join
14658,2,480,LOCKED
14681,1,481,481. Hash Join Role
14683,2,481,LOCKED
14711,1,482,482. Hash Join Build Storage
14713,2,482,LOCKED
14736,1,483,483. Hash Join Hash Directory
14738,2,483,LOCKED
14771,1,484,484. Why Directory + Duplicate Chains
14773,2,484,LOCKED rationale
14799,1,485,485. Hash Function Contract
14801,2,485,LOCKED
14832,1,486,486. Hash Join NULL Semantics
14834,2,486,LOCKED
14856,1,487,487. Hash Join Build Pipeline
14858,2,487,LOCKED
14883,1,488,488. Hash Join Probe State
14885,2,488,LOCKED
14902,1,489,489. Hash Join Residual Predicate
14904,2,489,LOCKED
14939,1,490,490. LEFT Hash Join
14941,2,490,LOCKED
14958,1,491,491. Grace Hash Join Spilling
14960,2,491,LOCKED
14984,1,492,492. Recursive Hash Repartition
14986,2,492,LOCKED
15008,1,493,493. Hash Join Spill Ordering
15010,2,493,LOCKED
15022,1,494,494. Hash Aggregate
15024,2,494,LOCKED
15044,1,495,495. Aggregate Function State API
15046,2,495,LOCKED
15074,1,496,496. Initial Aggregate Semantics
15076,2,496,LOCKED
15078,3,496,COUNT(*)
15088,3,496,COUNT(expr)
15098,3,496,SUM
15110,3,496,MIN / MAX
15120,3,496,AVG
15133,1,497,497. Group Hash Table
15135,2,497,LOCKED
15157,1,498,498. GROUP BY NULL Semantics
15159,2,498,LOCKED
15181,1,499,499. Global Aggregate Fast Path
15183,2,499,LOCKED
15199,1,500,500. Hash Aggregate Spill
15201,2,500,LOCKED
15221,1,501,501. DISTINCT
15223,2,501,LOCKED
15238,1,502,502. Sort Operator
15240,2,502,LOCKED
15258,1,503,503. Sort Record
15260,2,503,LOCKED
15289,1,504,504. Sort Comparison
15291,2,504,LOCKED
15315,1,505,505. In-Memory Sort Algorithm
15317,2,505,LOCKED initial implementation
15343,1,506,506. External Merge Sort
15345,2,506,LOCKED
15376,1,507,507. Sort Spill Run Format
15378,2,507,LOCKED
15400,1,508,508. PhysicalTopN
15402,2,508,LOCKED
15432,1,509,509. Merge Join
15434,2,509,"LOCKED architecture, later implementation milestone"
15452,1,510,510. DML Target Materialization
15454,2,510,LOCKED
15486,1,511,511. Halloween Problem Protection
15488,2,511,LOCKED
15502,1,512,512. DML Target Spool Memory and Spill
15504,2,512,LOCKED
15523,1,513,513. DML Revalidation
15525,2,513,LOCKED
15548,1,514,514. INSERT Execution
15550,2,514,LOCKED
15578,1,515,515. UPDATE Execution
15580,2,515,LOCKED
15598,1,516,516. DELETE Execution
15600,2,516,LOCKED
15617,1,517,517. RETURNING Buffer
15619,2,517,LOCKED
15641,1,518,518. Query Result Interface
15643,2,518,LOCKED
15659,1,519,519. Physical DDL Execution
15661,2,519,LOCKED
15679,1,520,520. Physical VACUUM
15681,2,520,LOCKED
15691,1,521,521. Physical Operator Properties
15693,2,521,LOCKED
15713,1,522,522. Ordering Property
15715,2,522,LOCKED
15746,1,523,523. Pipeline Breaker Memory Semantics
15748,2,523,LOCKED
15776,1,524,524. Pipeline Dependency DAG
15778,2,524,LOCKED
15795,1,525,525. Worker Model
15797,2,525,LOCKED architecture
15815,1,526,526. Pipeline Morsels
15817,2,526,LOCKED for parallel-ready sources
15827,3,526,Heap scan
15841,3,526,Values
15845,3,526,Spill partitions
15853,1,527,527. Local Operator State
15855,2,527,LOCKED
15874,1,528,528. Parallel Sequential Scan
15876,2,528,LOCKED later milestone
15894,1,529,529. Parallel Hash Join Build
15896,2,529,LOCKED architecture
15912,1,530,530. Parallel Hash Join Probe
15914,2,530,LOCKED architecture
15932,1,531,531. Parallel Hash Aggregate
15934,2,531,LOCKED architecture
15952,1,532,532. Parallel Sort
15954,2,532,LOCKED architecture
15972,1,533,533. Task Scheduler
15974,2,533,LOCKED staged implementation
15998,1,534,534. Query Fairness
16000,2,534,LOCKED architecture
16017,1,535,535. NUMA
16019,2,535,DEFERRED
16036,1,536,536. SIMD Policy
16038,2,536,LOCKED architecture-compatible
16070,1,537,537. Branch Reduction
16072,2,537,LOCKED guideline
16095,1,538,538. Prefetch
16097,2,538,LOCKED future optimization points
16114,1,539,539. Query Profiling
16116,2,539,LOCKED
16132,3,539,SeqScan
16141,3,539,IndexScan
16149,3,539,HashJoin
16161,3,539,Aggregate
16170,3,539,Sort
16182,1,540,540. EXPLAIN ANALYZE
16184,2,540,LOCKED
16213,1,541,541. Pipeline Profiling
16215,2,541,LOCKED
16248,1,542,542. Physical Plan Validator
16250,2,542,LOCKED
16270,1,543,543. Execution Error Model
16272,2,543,LOCKED
16296,1,544,544. Integer Arithmetic Errors
16298,2,544,LOCKED
16317,1,545,545. Division
16319,2,545,LOCKED
16333,1,546,546. Execution Testing Strategy
16335,2,546,LOCKED
16337,3,546,Operator unit tests
16352,3,546,Pipeline tests
16356,3,546,End-to-end tests
16360,3,546,Differential tests
16364,3,546,Spill tests
16375,3,546,Cancellation tests
16391,1,547,547. Vector Correctness Tests
16393,2,547,LOCKED
16421,1,548,548. String Lifetime Tests
16423,2,548,LOCKED
16437,1,549,549. Hash Join Tests
16439,2,549,LOCKED
16462,1,550,550. Aggregate Tests
16464,2,550,LOCKED
16486,1,551,551. Sort Tests
16488,2,551,LOCKED
16511,1,552,552. DML Execution Tests
16513,2,552,LOCKED
16539,1,553,553. Execution Microbenchmarks
16541,2,553,LOCKED
16571,1,554,554. Vector Size Benchmark
16573,2,554,LOCKED
16593,1,555,555. End-to-End Execution Benchmarks
16595,2,555,LOCKED
16628,1,556,556. Deliberately Deferred Execution Features
16630,2,556,LOCKED
16657,1,557,557. High-Reward Future Execution Experiments
16659,2,557,LOCKED recommendation
16682,1,558,558. Practical Performance Rules
16684,2,558,LOCKED
16706,1,559,559. Execution Invariants
16708,2,559,LOCKED
16745,1,560,560. Recommended Execution Module Layout
16747,2,560,LOCKED
16838,1,561,561. Execution Implementation Order
16840,2,561,LOCKED
16842,3,561,Phase E1 — Vector foundation
16854,3,561,Phase E2 — Expression execution
16864,3,561,Phase E3 — Pipeline skeleton
16873,3,561,Phase E4 — Streaming operators
16883,3,561,Phase E5 — Blocking memory infrastructure
16892,3,561,Phase E6 — Joins
16902,3,561,Phase E7 — Aggregation/distinct
16911,3,561,Phase E8 — Sorting
16920,3,561,Phase E9 — DML execution
16930,3,561,Phase E10 — Parallel execution
16944,1,562,562. Execution Milestone 1
16946,2,562,LOCKED target
16970,1,563,563. Execution Milestone 2
16972,2,563,LOCKED target
16992,1,564,564. Execution Milestone 3
16994,2,564,LOCKED target
17009,1,565,565. Execution Milestone 4
17011,2,565,LOCKED target
17028,1,566,566. Execution Milestone 5
17030,2,566,LOCKED target
17058,1,567,567. Architecture Status After Practical Execution Layer
17060,2,567,LOCKED v1
17113,1,568,568. Cost-Based Optimizer Contract
17115,2,568,LOCKED
17162,1,569,569. Optimizer Layering
17164,2,569,LOCKED
17202,1,570,570. Optimizer Inputs
17204,2,570,LOCKED
17230,1,571,571. Optimizer Output
17232,2,571,LOCKED
17260,1,572,572. Statistics Philosophy
17262,2,572,LOCKED
17289,1,573,573. ANALYZE
17291,2,573,LOCKED
17315,1,574,574. Table Statistics
17317,2,574,LOCKED
17341,1,575,575. Column Statistics
17343,2,575,LOCKED
17373,1,576,576. Statistics Collection Strategy
17375,2,576,LOCKED
17399,1,577,577. Small-Table Exact Statistics
17401,2,577,LOCKED
17424,1,578,578. NDV Estimation
17426,2,578,LOCKED: HyperLogLog
17460,1,579,579. Most-Common-Value Collection
17462,2,579,LOCKED
17493,1,580,580. Histogram Collection
17495,2,580,LOCKED
17520,1,581,581. Why Equi-Depth Histograms
17522,2,581,LOCKED rationale
17541,1,582,582. Histogram Value Semantics
17543,2,582,LOCKED
17560,1,583,583. Statistics Serialization
17562,2,583,LOCKED
17588,1,584,584. Statistics Snapshot During Planning
17590,2,584,LOCKED
17602,1,585,585. Statistics Freshness
17604,2,585,LOCKED
17630,1,586,586. CardinalityEstimate
17632,2,586,LOCKED
17656,1,587,587. Exact-Zero vs Estimated-Small
17658,2,587,LOCKED
17698,1,588,588. Row Width Estimate
17700,2,588,LOCKED
17728,1,589,589. Selectivity Range
17730,2,589,LOCKED
17748,1,590,590. Equality Selectivity: Constant
17750,2,590,LOCKED
17760,3,590,NULL constant
17770,3,590,Constant found in MCV list
17778,3,590,Outside known min/max
17788,3,590,Otherwise
17802,1,591,591. Equality Selectivity: Column to Column
17804,2,591,LOCKED initial estimate
17846,1,592,592. MCV-Aware Join Estimation
17848,2,592,LOCKED
17864,1,593,593. Unique-Key Join Estimation
17866,2,593,LOCKED
17892,1,594,594. Range Selectivity
17894,2,594,LOCKED
17920,1,595,595. IS NULL Selectivity
17922,2,595,LOCKED
17955,1,596,596. IN-List Selectivity
17957,2,596,LOCKED
17979,1,597,597. NOT Selectivity
17981,2,597,LOCKED
18014,1,598,598. PredicateTruthEstimate
18016,2,598,LOCKED
18051,1,599,599. AND Selectivity
18053,2,599,LOCKED baseline
18073,1,600,600. OR Selectivity
18075,2,600,LOCKED baseline
18091,1,601,601. Same-Column Constraint Set
18093,2,601,LOCKED
18120,1,602,602. Correlated Columns
18122,2,602,LOCKED limitation
18151,1,603,603. Cardinality Through Projection
18153,2,603,LOCKED
18167,1,604,604. Cardinality Through Filter
18169,2,604,LOCKED
18182,1,605,605. Cardinality Through Limit
18184,2,605,LOCKED
18201,1,606,606. Cardinality Through DISTINCT
18203,2,606,LOCKED
18223,1,607,607. GROUP BY Cardinality
18225,2,607,LOCKED
18249,1,608,608. Multi-Column NDV Damping
18251,2,608,LOCKED initial heuristic
18274,1,609,609. LEFT JOIN Cardinality
18276,2,609,LOCKED
18312,1,610,610. Cost Model Philosophy
18314,2,610,LOCKED
18339,1,611,611. Cost Structure
18341,2,611,LOCKED
18374,1,612,612. Default Cost Units
18376,2,612,LOCKED initial calibration shape
18398,1,613,613. Cost Calibration Tool
18400,2,613,LOCKED
18423,1,614,614. Buffer Cache Assumption
18425,2,614,LOCKED initial model
18443,1,615,615. Sequential Scan Cost
18445,2,615,LOCKED
18467,1,616,616. B+ Tree Point Lookup Cost
18469,2,616,LOCKED
18495,1,617,617. Index Range Scan Cost
18497,2,617,LOCKED
18516,1,618,618. Index-Heap Correlation
18518,2,618,LOCKED initial statistic
18550,1,619,619. Fallback Heap Fetch Cost
18552,2,619,LOCKED
18566,1,620,620. Access-Path Predicate Analysis
18568,2,620,LOCKED
18584,1,621,621. Sargable B+ Tree Conditions
18586,2,621,LOCKED
18625,1,622,622. Composite Index Bounds
18627,2,622,LOCKED
18652,1,623,623. Index Predicate Residuals
18654,2,623,LOCKED
18684,1,624,624. Base Access Paths
18686,2,624,LOCKED
18709,1,625,625. Multiple Indexes
18711,2,625,LOCKED v1
18729,1,626,626. Index Scan Break-Even
18731,2,626,LOCKED
18757,1,627,627. Required Columns and Access Cost
18759,2,627,LOCKED
18781,1,628,628. Physical Property Model
18783,2,628,LOCKED initial properties
18811,1,629,629. Ordering Satisfaction
18813,2,629,LOCKED
18844,1,630,630. Interesting Orders
18846,2,630,LOCKED
18866,1,631,631. Plan Alternative Key
18868,2,631,LOCKED
18892,1,632,632. RelationSet
18894,2,632,LOCKED
18916,1,633,633. Join Graph
18918,2,633,LOCKED
18937,1,634,634. Join Enumeration Scope
18939,2,634,LOCKED
18960,1,635,635. Bushy Dynamic Programming
18962,2,635,LOCKED
18990,1,636,636. Exhaustive Join Threshold
18992,2,636,LOCKED initial default
19010,1,637,637. Large-Join Heuristic
19012,2,637,LOCKED
19030,1,638,638. Cartesian Products
19032,2,638,LOCKED
19048,1,639,639. Join Algorithm Alternatives
19050,2,639,LOCKED
19067,1,640,640. Hash Join Cost
19069,2,640,LOCKED
19094,1,641,641. Hash Join Memory Estimate
19096,2,641,LOCKED
19126,1,642,642. Hash Join Spill Cost
19128,2,642,LOCKED
19151,1,643,643. Nested Loop Cost
19153,2,643,LOCKED
19171,1,644,644. Index Nested-Loop Cost
19173,2,644,LOCKED
19203,1,645,645. Repeated INLJ Key Locality
19205,2,645,LOCKED initial refinement
19220,1,646,646. Merge Join Cost
19222,2,646,LOCKED when implemented
19246,1,647,647. Sort Cost
19248,2,647,LOCKED
19278,1,648,648. TopN Cost
19280,2,648,LOCKED
19310,1,649,649. Hash Aggregate Cost
19312,2,649,LOCKED
19336,1,650,650. Sort Aggregate Cost
19338,2,650,LOCKED when implemented
19364,1,651,651. DISTINCT Cost
19366,2,651,LOCKED
19381,1,652,652. Sort Enforcement
19383,2,652,LOCKED
19405,1,653,653. Final ORDER BY Optimization
19407,2,653,LOCKED
19429,1,654,654. Limit-Aware Planning
19431,2,654,LOCKED
19460,1,655,655. Required Rows Objective
19462,2,655,LOCKED
19486,1,656,656. Predicate CPU Cost
19488,2,656,LOCKED
19514,1,657,657. Filter Predicate Ordering
19516,2,657,LOCKED later optimization
19543,1,658,658. Physical Plan Memo
19545,2,658,LOCKED
19565,1,659,659. Dominance Rule
19567,2,659,LOCKED
19591,1,660,660. Join DP Initialization
19593,2,660,LOCKED
19607,1,661,661. Join DP Transition
19609,2,661,LOCKED
19629,1,662,662. Join Cardinality Must Be Algorithm-Independent
19631,2,662,LOCKED
19653,1,663,663. Outer Join Search Constraints
19655,2,663,LOCKED
19671,1,664,664. Subquery Physical Planning
19673,2,664,LOCKED initial scope
19690,1,665,665. Parameter-Free Plans
19692,2,665,LOCKED v1
19713,1,666,666. Statistics Missing Fallbacks
19715,2,666,LOCKED
19736,1,667,667. Statistics Confidence
19738,2,667,LOCKED recommendation
19770,1,668,668. Estimation Provenance
19772,2,668,LOCKED
19790,1,669,669. Optimizer Trace
19792,2,669,LOCKED
19817,1,670,670. EXPLAIN Estimates
19819,2,670,LOCKED
19848,1,671,671. EXPLAIN ANALYZE Estimate Error
19850,2,671,LOCKED
19881,1,672,672. Cardinality Error Attribution
19883,2,672,LOCKED recommendation
19897,1,673,673. No Runtime Statistics Feedback in v1
19899,2,673,LOCKED
19919,1,674,674. Planner Time Budget
19921,2,674,LOCKED
19938,1,675,675. Planning Memory Budget
19940,2,675,LOCKED
19956,1,676,676. Deterministic Optimization
19958,2,676,LOCKED
19983,1,677,677. Cost Tie Tolerance
19985,2,677,LOCKED
19997,1,678,678. Plan Fingerprint
19999,2,678,LOCKED
20024,1,679,679. Logical Rewrite Before Costing
20026,2,679,LOCKED
20045,1,680,680. Join Predicate Equivalence Classes
20047,2,680,LOCKED
20079,1,681,681. Constant Propagation Through Equality
20081,2,681,LOCKED
20102,1,682,682. Contradiction Detection
20104,2,682,LOCKED
20126,1,683,683. Unique/Key Metadata in Optimization
20128,2,683,LOCKED
20145,1,684,684. Foreign-Key Metadata
20147,2,684,DEFERRED
20155,1,685,685. Join Elimination
20157,2,685,DEFERRED
20172,1,686,686. Index-Order Match
20174,2,686,LOCKED
20197,1,687,687. Reverse-Scan Limitation
20199,2,687,LOCKED
20215,1,688,688. Hash Join Build-Side Selection
20217,2,688,LOCKED
20243,1,689,689. Join Output Width
20245,2,689,LOCKED
20264,1,690,690. Hash Table Payload Pruning
20266,2,690,LOCKED
20281,1,691,691. Sort Payload Pruning
20283,2,691,LOCKED
20298,1,692,692. Aggregate State Width
20300,2,692,LOCKED
20315,1,693,693. Spill Probability
20317,2,693,LOCKED
20332,1,694,694. Query Memory Allocation During Planning
20334,2,694,LOCKED
20346,1,695,695. Pipeline-Aware Peak Memory
20348,2,695,LOCKED recommendation
20372,1,696,696. Materialization Cost
20374,2,696,LOCKED
20397,1,697,697. Startup vs Total Cost
20399,2,697,LOCKED
20410,3,697,SeqScan
20414,3,697,IndexScan
20418,3,697,HashJoin
20422,3,697,Sort
20426,3,697,TopN
20434,1,698,698. Plan Search and LIMIT
20436,2,698,LOCKED
20460,1,699,699. Optimizer Correctness Boundary
20462,2,699,LOCKED
20480,1,700,700. Optimizer Validation
20482,2,700,LOCKED
20500,1,701,701. Statistics Tests
20502,2,701,LOCKED
20531,1,702,702. Selectivity Estimation Tests
20533,2,702,LOCKED
20570,1,703,703. Join Estimation Tests
20572,2,703,LOCKED
20592,1,704,704. Access Path Tests
20594,2,704,LOCKED
20612,1,705,705. Join-Order Tests
20614,2,705,LOCKED
20635,1,706,706. Interesting-Order Tests
20637,2,706,LOCKED
20655,1,707,707. Memory/Spill Plan Tests
20657,2,707,LOCKED
20678,1,708,708. Optimizer Differential Correctness Tests
20680,2,708,LOCKED
20696,1,709,709. Optimizer Fuzzing
20698,2,709,LOCKED
20721,1,710,710. Cost Model Benchmarks
20723,2,710,LOCKED
20752,1,711,711. Plan Regression Suite
20754,2,711,LOCKED
20782,1,712,712. Optimizer Performance Benchmarks
20784,2,712,LOCKED
20814,1,713,713. Star Schema Benchmark
20816,2,713,LOCKED recommendation
20833,1,714,714. No Benchmark Gaming
20835,2,714,LOCKED
20849,1,715,715. Deliberately Deferred Optimizer Features
20851,2,715,LOCKED
20878,1,716,716. High-Reward Future Optimizer Experiments
20880,2,716,LOCKED recommendation
20902,1,717,717. Cost-Based Optimizer Invariants
20904,2,717,LOCKED
20941,1,718,718. Recommended Optimizer Module Layout
20943,2,718,LOCKED
21026,1,719,719. Optimizer Implementation Order
21028,2,719,LOCKED
21030,3,719,Phase O1 — Statistics foundation
21042,3,719,Phase O2 — Selectivity/cardinality
21057,3,719,Phase O3 — Cost model
21071,3,719,Phase O4 — Base access planning
21081,3,719,Phase O5 — Join optimization
21094,3,719,Phase O6 — Property enforcement
21104,3,719,Phase O7 — Diagnostics
21116,1,720,720. Optimizer Milestone 1
21118,2,720,LOCKED target
